unique_id,max_prob,min_prob,path_exists
11507---BART---2015,no_match,no_match,0
1151---BART---2015,no_match,no_match,0
1151---Caltrain---2014,no_match,no_match,0
1152---Caltrain---2014,no_match,no_match,0
11521---BART---2015,no_match,no_match,0
11527---BART---2015,no_match,no_match,0
1153---Caltrain---2014,no_match,no_match,0
11539---BART---2015,no_match,no_match,0
1155---Napa Vine---2014,no_match,no_match,0
1156---BART---2015,no_match,no_match,0
1156---Caltrain---2014,no_match,no_match,0
1156---Tri-Delta---2014,no_match,no_match,0
11564---BART---2015,no_match,no_match,0
11569---BART---2015,no_match,no_match,0
11573---BART---2015,no_match,no_match,0
1158---BART---2015,no_match,no_match,0
1158---Tri-Delta---2014,no_match,no_match,0
11584---BART---2015,no_match,no_match,0
11585---BART---2015,no_match,no_match,0
1159---BART---2015,no_match,no_match,0
1159---Tri-Delta---2014,no_match,no_match,0
11590---BART---2015,no_match,no_match,0
11604---BART---2015,no_match,no_match,0
11613---BART---2015,no_match,no_match,0
1162---Napa Vine---2014,no_match,no_match,0
11620---BART---2015,no_match,no_match,0
11626---BART---2015,no_match,no_match,0
1163---Tri-Delta---2014,no_match,no_match,0
11632---BART---2015,no_match,no_match,0
1164---Tri-Delta---2014,no_match,no_match,0
11641---BART---2015,no_match,no_match,0
11643---BART---2015,no_match,no_match,0
11647---BART---2015,no_match,no_match,0
1165---BART---2015,no_match,no_match,0
11652---BART---2015,no_match,no_match,0
11659---BART---2015,no_match,no_match,0
1166---Tri-Delta---2014,no_match,no_match,0
11664---BART---2015,no_match,no_match,0
11669---BART---2015,no_match,no_match,0
11675---BART---2015,no_match,no_match,0
11676---BART---2015,no_match,no_match,0
11678---BART---2015,no_match,no_match,0
1168---BART---2015,no_match,no_match,0
11681---BART---2015,no_match,no_match,0
11686---BART---2015,no_match,no_match,0
1169---Napa Vine---2014,no_match,no_match,0
1169---Tri-Delta---2014,no_match,no_match,0
11699---BART---2015,no_match,no_match,0
1170---Napa Vine---2014,no_match,no_match,0
11704---BART---2015,no_match,no_match,0
11705---BART---2015,no_match,no_match,0
11711---BART---2015,no_match,no_match,0
11717---BART---2015,no_match,no_match,0
1172---Napa Vine---2014,no_match,no_match,0
11730---BART---2015,no_match,no_match,0
11738---BART---2015,no_match,no_match,0
1174---BART---2015,no_match,no_match,0
1174---Napa Vine---2014,no_match,no_match,0
11740---BART---2015,no_match,no_match,0
11744---BART---2015,no_match,no_match,0
11745---BART---2015,no_match,no_match,0
11754---BART---2015,no_match,no_match,0
1176---BART---2015,no_match,no_match,0
11765---BART---2015,no_match,no_match,0
1177---Tri-Delta---2014,no_match,no_match,0
1178---Caltrain---2014,no_match,no_match,0
1179---BART---2015,no_match,no_match,0
1179---Caltrain---2014,no_match,no_match,0
11791---BART---2015,no_match,no_match,0
118---Caltrain---2014,no_match,no_match,0
11802---BART---2015,no_match,no_match,0
11804---BART---2015,no_match,no_match,0
11812---BART---2015,no_match,no_match,0
11816---BART---2015,no_match,no_match,0
11819---BART---2015,no_match,no_match,0
1182---Caltrain---2014,no_match,no_match,0
1182---Napa Vine---2014,no_match,no_match,0
11820---BART---2015,no_match,no_match,0
1183---BART---2015,no_match,no_match,0
11831---BART---2015,no_match,no_match,0
11832---BART---2015,no_match,no_match,0
1184---Caltrain---2014,no_match,no_match,0
1185---BART---2015,no_match,no_match,0
1185---Caltrain---2014,no_match,no_match,0
1185---Napa Vine---2014,no_match,no_match,0
11850---BART---2015,no_match,no_match,0
11857---BART---2015,no_match,no_match,0
11858---BART---2015,no_match,no_match,0
1186---Caltrain---2014,no_match,no_match,0
1186---Napa Vine---2014,no_match,no_match,0
11864---BART---2015,no_match,no_match,0
11866---BART---2015,no_match,no_match,0
1187---BART---2015,no_match,no_match,0
11879---BART---2015,no_match,no_match,0
1188---Caltrain---2014,no_match,no_match,0
1188---Napa Vine---2014,no_match,no_match,0
11885---BART---2015,no_match,no_match,0
11889---BART---2015,no_match,no_match,0
11890---BART---2015,no_match,no_match,0
11892---BART---2015,no_match,no_match,0
1190---Tri-Delta---2014,0.7526879809999999,0.7526879809999999,1
11901---BART---2015,no_match,no_match,0
11903---BART---2015,no_match,no_match,0
11910---BART---2015,no_match,no_match,0
11914---BART---2015,no_match,no_match,0
11918---BART---2015,no_match,no_match,0
11922---BART---2015,no_match,no_match,0
11925---BART---2015,no_match,no_match,0
11937---BART---2015,no_match,no_match,0
11940---BART---2015,no_match,no_match,0
11944---BART---2015,no_match,no_match,0
11945---BART---2015,no_match,no_match,0
11949---BART---2015,no_match,no_match,0
1195---BART---2015,no_match,no_match,0
1195---Tri-Delta---2014,no_match,no_match,0
11953---BART---2015,no_match,no_match,0
11957---BART---2015,no_match,no_match,0
1196---Napa Vine---2014,0.0228912954,0.0008576351,1
11965---BART---2015,no_match,no_match,0
11967---BART---2015,no_match,no_match,0
11968---BART---2015,no_match,no_match,0
1197---BART---2015,no_match,no_match,0
1197---Napa Vine---2014,no_match,no_match,0
11976---BART---2015,no_match,no_match,0
11977---BART---2015,no_match,no_match,0
1199---Caltrain---2014,no_match,no_match,0
11994---BART---2015,no_match,no_match,0
11995---BART---2015,no_match,no_match,0
1200---BART---2015,no_match,no_match,0
1200---Caltrain---2014,no_match,no_match,0
12006---BART---2015,no_match,no_match,0
1201---Napa Vine---2014,no_match,no_match,0
1201---Tri-Delta---2014,no_match,no_match,0
12010---BART---2015,no_match,no_match,0
12013---BART---2015,no_match,no_match,0
12016---BART---2015,no_match,no_match,0
12019---BART---2015,no_match,no_match,0
1202---BART---2015,no_match,no_match,0
1202---Napa Vine---2014,no_match,no_match,0
12021---BART---2015,no_match,no_match,0
12023---BART---2015,no_match,no_match,0
12026---BART---2015,no_match,no_match,0
1203---Napa Vine---2014,no_match,no_match,0
1203---Tri-Delta---2014,0.9570141958,0.0022617787,1
12031---BART---2015,no_match,no_match,0
12032---BART---2015,no_match,no_match,0
1204---BART---2015,no_match,no_match,0
1204---Caltrain---2014,no_match,no_match,0
12044---BART---2015,no_match,no_match,0
1205---Napa Vine---2014,no_match,no_match,0
12051---BART---2015,no_match,no_match,0
12056---BART---2015,no_match,no_match,0
12058---BART---2015,no_match,no_match,0
12059---BART---2015,no_match,no_match,0
1206---BART---2015,no_match,no_match,0
1206---Tri-Delta---2014,0.5021971840999999,0.0011868778,1
12067---BART---2015,no_match,no_match,0
1207---BART---2015,no_match,no_match,0
12079---BART---2015,no_match,no_match,0
1208---Caltrain---2014,no_match,no_match,0
12088---BART---2015,no_match,no_match,0
1209---BART---2015,no_match,no_match,0
12094---BART---2015,no_match,no_match,0
12096---BART---2015,no_match,no_match,0
12097---BART---2015,no_match,no_match,0
12101---BART---2015,no_match,no_match,0
12103---BART---2015,no_match,no_match,0
1211---BART---2015,no_match,no_match,0
1211---Tri-Delta---2014,no_match,no_match,0
12112---BART---2015,no_match,no_match,0
1212---Napa Vine---2014,no_match,no_match,0
12120---BART---2015,no_match,no_match,0
12125---BART---2015,no_match,no_match,0
12128---BART---2015,no_match,no_match,0
1213---Caltrain---2014,no_match,no_match,0
12131---BART---2015,no_match,no_match,0
12133---BART---2015,no_match,no_match,0
12137---BART---2015,no_match,no_match,0
1215---BART---2015,no_match,no_match,0
1215---Caltrain---2014,no_match,no_match,0
1215---Tri-Delta---2014,0.9813400595999999,0.0039812097,1
12157---BART---2015,no_match,no_match,0
1216---Napa Vine---2014,no_match,no_match,0
12167---BART---2015,no_match,no_match,0
12171---BART---2015,no_match,no_match,0
1218---Napa Vine---2014,no_match,no_match,0
1218---Tri-Delta---2014,no_match,no_match,0
12187---BART---2015,no_match,no_match,0
12189---BART---2015,no_match,no_match,0
1219---BART---2015,no_match,no_match,0
1219---Caltrain---2014,no_match,no_match,0
1220---BART---2015,no_match,no_match,0
12200---BART---2015,no_match,no_match,0
12206---BART---2015,no_match,no_match,0
12208---BART---2015,no_match,no_match,0
12212---BART---2015,no_match,no_match,0
1222---BART---2015,no_match,no_match,0
1222---Caltrain---2014,no_match,no_match,0
12222---BART---2015,no_match,no_match,0
12227---BART---2015,no_match,no_match,0
1223---BART---2015,no_match,no_match,0
12231---BART---2015,no_match,no_match,0
12236---BART---2015,no_match,no_match,0
12238---BART---2015,no_match,no_match,0
12241---BART---2015,no_match,no_match,0
12242---BART---2015,no_match,no_match,0
12248---BART---2015,no_match,no_match,0
1225---BART---2015,no_match,no_match,0
1225---Caltrain---2014,no_match,no_match,0
12251---BART---2015,no_match,no_match,0
12254---BART---2015,no_match,no_match,0
12256---BART---2015,no_match,no_match,0
1226---Tri-Delta---2014,1.0,1.0,1
12260---BART---2015,no_match,no_match,0
12265---BART---2015,no_match,no_match,0
12267---BART---2015,no_match,no_match,0
1228---Caltrain---2014,no_match,no_match,0
1228---Tri-Delta---2014,no_match,no_match,0
12284---BART---2015,no_match,no_match,0
12286---BART---2015,no_match,no_match,0
1230---Napa Vine---2014,no_match,no_match,0
12301---BART---2015,no_match,no_match,0
12304---BART---2015,no_match,no_match,0
12306---BART---2015,no_match,no_match,0
1231---BART---2015,no_match,no_match,0
12312---BART---2015,no_match,no_match,0
12319---BART---2015,no_match,no_match,0
1232---Napa Vine---2014,no_match,no_match,0
12320---BART---2015,no_match,no_match,0
1233---Tri-Delta---2014,no_match,no_match,0
12337---BART---2015,no_match,no_match,0
12339---BART---2015,no_match,no_match,0
1234---BART---2015,no_match,no_match,0
12346---BART---2015,no_match,no_match,0
12351---BART---2015,no_match,no_match,0
12355---BART---2015,no_match,no_match,0
1236---Tri-Delta---2014,no_match,no_match,0
12364---BART---2015,no_match,no_match,0
12371---BART---2015,no_match,no_match,0
12375---BART---2015,no_match,no_match,0
1238---BART---2015,no_match,no_match,0
12388---BART---2015,no_match,no_match,0
1239---BART---2015,no_match,no_match,0
12394---BART---2015,no_match,no_match,0
1240---Caltrain---2014,no_match,no_match,0
1240---Tri-Delta---2014,0.0115437525,0.0115437525,1
12409---BART---2015,no_match,no_match,0
1241---BART---2015,no_match,no_match,0
1241---Napa Vine---2014,no_match,no_match,0
1241---Tri-Delta---2014,0.9874656232,0.9874656232,1
12411---BART---2015,no_match,no_match,0
12413---BART---2015,no_match,no_match,0
12419---BART---2015,no_match,no_match,0
12421---BART---2015,no_match,no_match,0
12425---BART---2015,no_match,no_match,0
12427---BART---2015,no_match,no_match,0
1243---Caltrain---2014,no_match,no_match,0
12430---BART---2015,no_match,no_match,0
12436---BART---2015,no_match,no_match,0
1244---Tri-Delta---2014,no_match,no_match,0
12440---BART---2015,no_match,no_match,0
12443---BART---2015,no_match,no_match,0
12445---BART---2015,no_match,no_match,0
1245---BART---2015,no_match,no_match,0
12450---BART---2015,no_match,no_match,0
12461---BART---2015,no_match,no_match,0
12489---BART---2015,no_match,no_match,0
12491---BART---2015,no_match,no_match,0
1250---Tri-Delta---2014,0.059319432699999994,0.059319432699999994,1
12501---BART---2015,no_match,no_match,0
12508---BART---2015,no_match,no_match,0
12510---BART---2015,no_match,no_match,0
12511---BART---2015,no_match,no_match,0
12514---BART---2015,no_match,no_match,0
1252---Caltrain---2014,no_match,no_match,0
12521---BART---2015,no_match,no_match,0
12529---BART---2015,no_match,no_match,0
12531---BART---2015,no_match,no_match,0
12536---BART---2015,no_match,no_match,0
1254---Caltrain---2014,no_match,no_match,0
12540---BART---2015,no_match,no_match,0
12545---BART---2015,no_match,no_match,0
1255---Tri-Delta---2014,no_match,no_match,0
12550---BART---2015,no_match,no_match,0
12558---BART---2015,no_match,no_match,0
1256---Napa Vine---2014,no_match,no_match,0
12565---BART---2015,no_match,no_match,0
12566---BART---2015,no_match,no_match,0
1257---BART---2015,no_match,no_match,0
12571---BART---2015,no_match,no_match,0
1258---Tri-Delta---2014,1.0,1.0,1
12595---BART---2015,no_match,no_match,0
126---Caltrain---2014,no_match,no_match,0
1260---BART---2015,no_match,no_match,0
1261---Caltrain---2014,no_match,no_match,0
12618---BART---2015,no_match,no_match,0
1262---BART---2015,no_match,no_match,0
1263---BART---2015,no_match,no_match,0
12637---BART---2015,no_match,no_match,0
1264---Tri-Delta---2014,0.2517291391,0.2517291391,1
12643---BART---2015,no_match,no_match,0
1265---Caltrain---2014,no_match,no_match,0
12655---BART---2015,no_match,no_match,0
1266---Napa Vine---2014,no_match,no_match,0
12663---BART---2015,no_match,no_match,0
12669---BART---2015,no_match,no_match,0
1267---Caltrain---2014,no_match,no_match,0
1267---Tri-Delta---2014,0.9852041187999999,0.014795881200000001,1
12673---BART---2015,no_match,no_match,0
1268---Tri-Delta---2014,0.8591673940000001,0.0025964119,1
1269---BART---2015,no_match,no_match,0
12699---BART---2015,no_match,no_match,0
