N,X,Y,TAZ,TAZdist
30043,6007834.46000,2118367.30000,358,0.000
30044,6008703.52000,2112127.81000,296,0.000
30045,6008809.03000,2112490.60000,296,0.000
30046,6009530.32000,2113168.53000,296,0.000
30047,6009247.65000,2116724.80000,341,0.000
30048,6012515.99000,2115785.20000,939,0.000
30049,6013744.43000,2117004.51000,954,0.000
30050,6013298.91000,2117614.17000,811,0.000
30053,6009037.65000,2114952.65000,712,0.000
30055,6007942.26000,2112370.37000,286,0.000
30056,6013254.13000,2117933.07000,957,0.000
30057,6008428.89000,2115910.55000,760,0.000
30059,6006272.02000,2121093.77000,836,0.000
30060,6006328.28000,2120407.20000,817,0.000
30061,6001883.02000,2119236.43000,815,0.000
30062,6006139.80000,2119686.31000,817,0.000
30063,6003275.18000,2114845.76000,321,0.000
30064,6003322.93000,2114503.97000,696,0.000
30065,6011128.72000,2119339.80000,372,0.000
30066,6010465.56000,2117878.66000,792,0.000
30067,6009391.33000,2119451.42000,376,0.000
30068,6009928.56000,2118289.92000,357,0.000
30069,6005079.92000,2110238.05000,255,0.000
30070,6005556.13000,2110305.48000,587,0.000
30071,6005057.00000,2110402.65000,255,0.000
30072,6004206.19000,2113059.75000,680,0.000
30073,6007362.92000,2119863.62000,849,0.000
30074,6005589.54817,2110309.15860,587,0.000
30075,6006268.80000,2115437.61000,330,0.000
30076,6006328.23000,2115445.91000,327,0.000
30077,6006316.79000,2115093.75000,330,0.000
30078,6006376.22000,2115102.01000,322,0.000
30079,6006364.69000,2114750.57000,318,0.000
30080,6006424.14000,2114758.70000,319,0.000
30081,6006471.09000,2114422.27000,699,0.000
30082,6002923.87000,2116170.50000,340,0.000
30083,6002968.15000,2115851.20000,336,0.000
30705,6006961.90000,2110499.27000,588,0.000
30706,6006938.08000,2110671.65000,259,0.000
30707,6006564.54000,2113395.47000,682,0.000
30708,6006515.49000,2113735.62000,682,0.000
30709,6006467.82000,2114075.70000,318,0.000
30710,6009470.66000,2119808.88000,373,0.000
30711,6010179.87000,2119903.89000,373,0.000
30712,6010410.62000,2119935.47000,373,0.000
30714,6010289.06000,2119918.84000,373,0.000
30715,6010605.13000,2119962.85000,822,0.000
30716,6010742.46000,2119982.80000,822,0.000
30717,6010876.04000,2120002.21000,374,0.000
30718,6011905.55000,2120138.61000,827,0.000
30719,6012247.47000,2120184.04000,827,0.000
30720,6007158.20000,2118021.19000,351,0.000
30721,6010533.24000,2117887.96000,792,0.000
30722,6008594.22000,2117948.90000,348,0.000
30723,6007769.52000,2118098.77000,351,0.000
30724,6010439.10000,2119593.09000,373,0.000
30725,6014225.04000,2117291.94000,777,0.000
30726,6013978.19000,2117032.84000,777,0.000
30727,6013766.96000,2116855.67000,776,0.000
30728,6013707.29000,2116798.88000,955,0.000
30729,6013448.26000,2116552.26000,953,0.000
30730,6013188.65000,2116306.43000,774,0.000
30731,6012928.06000,2116056.99000,773,0.000
30732,6012823.67000,2115982.17000,941,0.000
30733,6012632.67000,2115798.40000,939,0.000
30734,6012271.75000,2115432.13000,740,0.000
30735,6012068.31000,2115238.44000,938,0.000
30736,6011818.59000,2115021.51000,938,0.000
30737,6011840.64000,2114998.46000,742,0.000
30738,6011665.94000,2114853.54000,935,0.000
30739,6010299.52000,2113551.92000,667,0.000
30740,6009228.81000,2112548.82000,296,0.000
30741,6009144.66000,2112468.43000,296,0.000
30742,6008988.90000,2112299.26000,296,0.000
30743,6007958.24000,2111335.03000,286,0.000
30744,6007844.72000,2111319.03000,286,0.000
30745,6007874.61000,2111235.05000,620,0.000
30746,6007517.94000,2110895.29000,647,0.000
30747,6007176.25000,2110544.39000,591,0.000
30748,6007000.67000,2110398.27000,591,0.000
30749,6006706.20000,2110117.18000,578,0.000
30750,6006575.14000,2109992.08000,578,0.000
30751,6006460.51000,2109909.56000,588,0.000
30752,6006417.39000,2109818.90000,578,0.000
30753,6006208.84000,2109645.69000,587,0.000
30754,6006137.04000,2109600.94000,587,0.000
30755,6006008.80000,2109455.60000,587,0.000
30756,6005714.00000,2109175.45000,242,0.000
30757,6005350.42000,2108829.94000,243,0.000
30758,6004920.84000,2108421.72000,243,0.000
30759,6005609.14000,2109050.88000,242,0.000
30760,6010546.98000,2119720.61000,373,0.000
30761,6012102.70000,2116073.66000,940,0.000
30762,6008238.87000,2122689.67000,851,0.000
30763,6002369.44000,2121912.00000,839,0.000
30764,6007502.27000,2120768.79000,848,0.000
30765,6012434.31000,2118821.59000,826,0.000
30766,6006859.21000,2121877.32000,847,0.000
30767,6005011.33000,2119529.28000,378,0.000
30768,6011326.21000,2114528.57000,744,0.000
30769,6010353.86000,2116532.76000,346,0.000
30770,6010884.66000,2117281.08000,793,0.000
30771,6011569.74000,2116346.21000,789,0.000
30772,6005644.88891,2109130.93703,248,0.000
30820,6000949.79000,2117223.14000,794,0.000
30821,5999243.76000,2117339.19000,862,0.000
30822,5999397.88000,2119540.47000,377,0.000
30823,5998862.37000,2121103.67000,841,0.000
30824,5998296.99000,2113838.63000,687,0.000
32825,5999782.02000,2113250.62000,663,0.000
32826,5996323.92000,2111919.87000,288,0.000
32827,5996821.99000,2111989.54000,289,0.000
32828,5997086.43000,2112026.54000,289,0.000
32830,5999168.37000,2106568.70000,229,0.000
32831,6010997.35496,2089057.67930,23,0.000
32832,5981894.07000,2113054.93000,291,0.000
32833,5984069.54000,2112989.13000,295,0.000
32834,5984689.06000,2113012.00000,295,0.000
32835,5984700.25000,2112689.70000,295,0.000
32836,5984079.51000,2112706.53000,295,0.000
32837,5984389.76000,2112676.16000,295,0.000
32839,5993582.27000,2103924.95000,513,0.000
32840,5993555.53000,2104603.51000,529,0.000
32842,5981781.87000,2107842.85000,580,0.000
32843,5981285.84000,2107219.58000,580,0.000
32844,5983459.96000,2107482.10000,580,0.000
32845,5983590.86000,2107618.88000,580,0.000
32846,5980879.65000,2109087.18000,580,0.000
32849,5984732.89000,2108731.67000,581,0.000
32850,5984997.41000,2108971.93000,581,0.000
32851,5984958.68000,2109168.56000,581,0.000
32852,5992865.03000,2108528.43000,586,0.000
32853,5992419.90000,2108724.45000,586,0.000
32854,5992503.74000,2108887.74000,586,0.000
32855,5995717.84000,2109183.65000,585,0.000
32856,5996938.61000,2109252.18000,921,0.000
32857,5996652.81000,2109150.10000,584,0.000
32858,5996928.85000,2109320.80000,584,0.000
32859,5997096.33000,2109368.12000,921,0.000
32860,5997136.09000,2109234.14000,921,0.000
32862,5996537.31000,2108075.81000,585,0.000
32863,5996124.61000,2107927.04000,923,0.000
32864,5988907.06000,2109588.48000,582,0.000
32867,5984910.40000,2106578.27000,219,0.000
32868,5984592.48000,2106800.80000,218,0.000
32869,5992882.11000,2108631.41000,586,0.000
32870,5992651.01000,2102719.18000,145,0.000
32871,5992175.44000,2103256.80000,524,0.000
32872,5992518.86000,2103409.36000,514,0.000
32873,5992408.24000,2103199.55000,524,0.000
32874,5991565.71000,2103096.62000,169,0.000
32875,5991882.98000,2103107.52000,169,0.000
32876,5992196.83000,2102558.71000,524,0.000
32877,5991902.51000,2103865.32000,524,0.000
32878,5991522.67000,2104040.40000,523,0.000
32879,5991638.56000,2103593.55000,524,0.000
32880,5991407.81000,2103851.75000,523,0.000
32881,5991865.15000,2101823.55000,145,0.000
32882,5993007.17000,2101968.77000,145,0.000
32883,5992830.61000,2101806.88000,145,0.000
32884,5992551.27000,2101244.31000,145,0.000
32885,5992586.06000,2100857.64000,480,0.000
32887,5992599.21000,2100472.16000,481,0.000
32888,5992002.21000,2099788.38000,481,0.000
32889,5988656.19000,2096950.15000,419,0.000
32890,5984319.61000,2095803.66000,81,0.000
32891,5985272.80000,2095869.90000,414,0.000
32892,5985539.92000,2095817.03000,83,0.000
32893,5985273.69000,2095807.20000,83,0.000
32894,5984973.24000,2095796.12000,81,0.000
32895,5984713.95000,2095786.86000,81,0.000
32896,5985110.97000,2095552.51000,81,0.000
32897,5985120.78000,2095278.29000,81,0.000
32898,5985156.65000,2095547.09000,83,0.000
32899,5985165.73000,2095279.95000,83,0.000
32900,5985727.81000,2096323.21000,414,0.000
32901,5985581.72000,2096032.04000,414,0.000
32902,5985738.50000,2096039.67000,414,0.000
32903,5984966.64000,2095858.84000,81,0.000
32904,5981418.17000,2096484.47000,400,0.000
32905,5995636.00000,2102982.99000,517,0.000
32906,5995710.77000,2102795.10000,517,0.000
32907,5995797.31000,2102815.56000,518,0.000
32908,5995565.97000,2103158.84000,517,0.000
32909,5995523.81000,2103325.67000,517,0.000
32910,5995120.48000,2104152.08000,545,0.000
32911,5994909.16000,2104069.50000,545,0.000
32912,5996204.59000,2102502.61000,151,0.000
32913,5996082.23000,2103455.28000,518,0.000
32914,5996600.40000,2106431.11000,546,0.000
32915,5996823.57000,2106517.19000,546,0.000
32916,5996933.89000,2105774.31000,546,0.000
32917,5997119.64000,2105946.26000,546,0.000
32918,5998410.52000,2104931.30000,195,0.000
32919,5999193.38000,2104854.88000,196,0.000
32920,5999551.86000,2104929.32000,196,0.000
32921,5999919.63000,2105164.94000,199,0.000
32922,6000883.24000,2105399.33000,199,0.000
32923,6000827.35000,2105390.43000,199,0.000
32924,6001357.08000,2107291.57000,234,0.000
32925,5999060.71000,2105707.28000,217,0.000
32926,5999061.67000,2105858.59000,217,0.000
32927,5999092.43000,2105886.44000,554,0.000
32928,5998657.03000,2102316.07000,180,0.000
32930,5998299.95000,2101748.04000,180,0.000
32933,5998923.25000,2104485.69000,177,0.000
32934,5997596.00000,2104557.50000,545,0.000
32935,6000066.88000,2105761.77000,217,0.000
32936,6000072.89000,2105652.44000,199,0.000
32937,6000846.91000,2104790.90000,199,0.000
32938,6000586.40000,2104776.46000,199,0.000
32939,6000585.72000,2104653.34000,199,0.000
32940,6000029.66000,2104064.28000,196,0.000
32941,6000579.49000,2104901.92000,199,0.000
32942,5999560.74000,2104427.06000,196,0.000
32943,5999940.72000,2103584.79000,178,0.000
32944,6000591.13000,2103008.16000,159,0.000
32945,5997922.41000,2103093.38000,180,0.000
32947,5998039.42000,2102908.13000,154,0.000
32948,5997763.30000,2103293.14000,180,0.000
32949,5998093.22000,2103566.77000,180,0.000
32950,5996763.41000,2103283.32000,180,0.000
32951,5997620.75000,2104378.50000,180,0.000
32952,5998510.91000,2104274.14000,180,0.000
32953,5998844.68000,2104385.11000,177,0.000
32954,5998765.30000,2104283.94000,195,0.000
32955,5998945.57000,2103934.55000,177,0.000
32956,5998798.02000,2103927.99000,177,0.000
