stop_id,stop_name,stop_lat,stop_lon,zone_id
6529,6529,37.3866865726,-122.043881149,
6530,6530,37.3842375438,-122.032370918,
6531,6531,37.3860191486,-122.031644851,
6532,6532,37.3820377711,-122.032970306,
22040,27th/Diamond,37.7463726674,-122.435840853,
6538,6538,37.3447194843,-122.05058904,
6539,6539,37.3463082764,-122.041943497,
6540,6540,37.3592323505,-122.059744653,
6541,6541,37.3593562123,-122.050427263,
6542,6542,37.3591239592,-122.041746726,
6543,6543,37.3589403239,-122.032371175,
6546,6546,37.351940526,-122.05073521,
6547,6547,37.3517587249,-122.041603252,
6548,6548,37.3518414252,-122.032371979,
6549,6549,37.3674945826,-122.032526709,
6550,6550,37.3373090774,-122.050433979,
6551,6551,37.3375637254,-122.041772371,
6552,6552,37.3374258583,-122.032585175,
6553,6553,37.269118844,-121.834307182,
6554,6554,37.2657772201,-121.856733729,
6556,6556,37.3850047804,-122.044343041,
6563,6563,37.3520086311,-122.086865052,
6564,6564,37.3519578207,-122.077991061,
6565,6565,37.361089374,-122.0780939,
6566,6566,37.3450407527,-122.078298623,
6567,6567,37.337508085,-122.068937828,
6569,6569,37.3787264434,-122.069723156,
6575,6575,37.3808265793,-122.087069188,
6576,6576,37.3734304006,-122.0782817,
6577,6577,37.3734709896,-122.087000228,
6579,6579,37.3589191278,-122.095871307,
6581,6581,37.3890190904,-122.062772962,
6582,6582,37.3917785309,-122.061800971,
6583,6583,37.3901063334,-122.063482405,
6584,6584,37.3849178274,-122.114208586,
6586,6586,37.3862859394,-122.09608498,
6587,6587,37.384960858,-122.097253061,
6588,6588,37.3732172197,-122.11407514,
6589,6589,37.3738482835,-122.114090306,
6590,6590,37.3705229068,-122.110571913,
6591,6591,37.3738449515,-122.107652679,
6592,6592,37.3916233189,-122.114129686,
6593,6593,37.3905987382,-122.067622142,
6594,6594,37.3916661718,-122.070399228,
6595,6595,37.4092646656,-122.083628136,
6598,6598,37.4219149021,-122.101804787,
6599,6599,37.4199591315,-122.110168339,
6600,6600,37.4240779415,-122.114922816,
6605,6605,37.4118471818,-122.092410548,
6608,6608,37.4187926392,-122.095423174,
6610,6610,37.4162221407,-122.103488751,
6611,6611,37.4135201939,-122.104956071,
6612,6612,37.4144910151,-122.092785455,
6613,6613,37.4031425928,-122.097441716,
6614,6614,37.3956232376,-122.101903993,
6615,6615,37.4011565167,-122.113712416,
6616,6616,37.407326372,-122.109526836,
6617,6617,37.406947306,-122.095215345,
6618,6618,37.3751179411,-122.060212745,
6619,6619,37.4084433382,-122.108236789,
6620,6620,37.3867709638,-122.066856232,
6621,6621,37.3840544225,-121.978117716,
6622,6622,37.3871435705,-121.975748805,
6623,6623,37.3921771806,-121.976222561,
6624,6624,37.4067904134,-122.078404205,
22950,Ulloa/Forest Side,37.7415033412,-122.468561096,
6632,6632,37.3802702741,-122.073487938,
6633,6633,37.385769428,-122.084015839,
6634,6634,37.3877759423,-122.088227509,
6635,6635,37.3925852198,-122.095930262,
6637,6637,37.3953955155,-122.078084796,
6638,6638,37.3946426976,-122.078687122,
6639,6639,37.3946185252,-122.075627278,
6640,6640,37.3925380315,-122.079978846,
6642,6642,37.3899730494,-122.092629149,
6643,6643,37.4015267785,-122.072672659,
6651,6651,37.403173112,-121.996139003,
6652,6652,37.4017840349,-122.010992141,
22954,Ulloa/14th,37.741425099,-122.470104954,
6654,6654,37.3934622113,-121.995737573,
6657,6657,37.3976309423,-122.012323355,
22955,15th/Ulloa,37.7413831114,-122.471225955,
6660,6660,37.4006692326,-122.027637596,
6665,6665,37.4019284758,-122.027316269,
6674,6674,37.4052920646,-121.918556202,
6675,6675,37.3987826527,-121.93324642,
6676,6676,37.397487172,-121.923582795,
6677,6677,37.3824899988,-121.906018466,
6678,6678,37.3579788336,-121.956486546,
6679,6679,37.406440855,-121.966572705,
6687,6687,37.3930696446,-121.947493688,
6693,6693,37.3731225741,-121.918487432,
6697,6697,37.3785543071,-121.941021413,
6702,6702,37.3891627317,-121.955162026,
6703,6703,37.3920555154,-121.957143991,
6704,6704,37.3975140939,-121.936506798,
6705,6705,37.3859726703,-121.928051145,
6706,6706,37.412410999,-121.887300435,
6707,6707,37.4235682198,-121.89292166,
6719,6719,37.3645111732,-121.891813793,
6721,6721,37.3667527092,-121.869612905,
6722,6722,37.3731496014,-121.874055618,
6723,6723,37.3737372158,-121.873161673,
6724,6724,37.3813559619,-121.89553051,
6725,6725,37.3872451061,-121.886283093,
6726,6726,37.3852171947,-121.884381535,
6727,6727,37.3940664561,-121.875619491,
6728,6728,37.3799182848,-121.867416119,
6729,6729,37.3720203804,-121.893849126,
6730,6730,37.4033032925,-121.891649432,
6731,6731,37.3799756259,-121.93970251,
6733,6733,37.3764892831,-121.89559059,
6738,6738,37.4267729356,-121.881007476,
6739,6739,37.4314003476,-121.864054657,
6740,6740,37.4004937545,-121.8643837,
6742,6742,37.3969025678,-121.871510058,
6743,6743,37.3885017522,-121.862068185,
6744,6744,37.3941024168,-121.859611151,
6745,6745,37.3868657697,-121.860658337,
6746,6746,37.3830700286,-121.856807601,
6747,6747,37.3998038929,-121.847119758,
6748,6748,37.3890630021,-121.846504837,
6749,6749,37.3947887584,-121.844891987,
6750,6750,37.4004077553,-121.877083858,
6757,6757,37.4169414724,-121.854359123,
6758,6758,37.4034430965,-121.882563467,
6759,6759,37.4333677116,-121.864549799,
6760,6760,37.409223515,-121.870534301,
6761,6761,37.4225195187,-121.860344306,
6764,6764,37.4160097744,-121.8751785,
6765,6765,37.4355383258,-121.884066599,
6766,6766,37.4575138752,-121.91151814,
6767,6767,37.3680859205,-121.892393624,
6768,6768,37.4469940074,-121.891977358,
6770,6770,37.4465583434,-121.900338092,
6771,6771,37.4472890104,-121.887444653,
6772,6772,37.452476371,-121.910641465,
6783,6783,37.4191405718,-121.867967711,
6784,6784,37.4103411701,-121.894370598,
6785,Alana,37.4069548746,-121.887934786,
6786,Tunnel,37.4119700746,-121.897962553,
6793,6793,37.4101526724,-121.945763182,
6804,6804,37.4304924582,-121.908643142,
6806,6806,37.4321704128,-121.900051312,
6820,6820,37.4004397045,-122.073126682,
6828,6828,37.4040516169,-122.026825579,
6833,6833,37.4143533557,-122.025652685,
6834,6834,37.4073024573,-122.009100446,
6835,6835,37.4109862596,-122.000215605,
6837,6837,37.4181826191,-121.958872403,
6839,6839,37.4261760204,-121.976245731,
6845,6845,37.4256614244,-121.924388817,
6847,6847,37.4178671493,-122.123324583,
6848,6848,37.4167005132,-122.130118541,
6849,6849,37.4105038244,-122.123421703,
6850,6850,37.4147486637,-122.118501804,
6854,6854,37.446972777,-122.125901773,
6856,6856,37.2547650428,-121.865413645,
6860,6860,37.4439443912,-122.136959089,
6861,6861,37.4444233119,-122.134658718,
6864,6864,37.4209069075,-121.962202407,
6865,6865,37.4555908426,-122.152043768,
6866,6866,37.4554734392,-122.147002418,
6867,6867,37.4474697049,-122.152045002,
22990,Taraval/14th,37.7432891573,-122.470234909,
6871,6871,37.4506776206,-122.1569607,
6872,6872,37.4470069292,-122.160449975,
6876,6876,37.4401610022,-122.149708397,
6877,6877,37.4355985961,-122.133358709,
6878,6878,37.428218226,-122.140206129,
6879,6879,37.4420164922,-122.143289098,
6882,6882,37.4045393684,-122.145930569,
6883,6883,37.3941911512,-122.143347965,
6884,6884,37.4417790064,-122.165527544,39
6885,6885,37.4468552111,-122.172163821,39
6886,6886,37.4433388466,-122.164323234,
6887,6887,37.438286165,-122.155991952,
6888,6888,37.4372629845,-122.160400589,39
6889,6889,37.4378388695,-122.167036554,
6890,6890,37.4404627421,-122.174316345,
6891,6891,37.4275317498,-122.149523495,39
6892,6892,37.4216099635,-122.154563074,
6894,6894,37.4230538909,-122.142295936,39
6896,6896,37.4063070382,-122.156113551,
6897,6897,37.3990547513,-122.134175153,
6901,6901,37.2804300511,-121.862016717,
6911,6911,37.3930120483,-122.190933355,
6913,6913,37.3825240164,-122.194129733,
6914,6914,37.3851313803,-122.222770872,
6915,6915,37.3790597529,-122.22468592,
6916,6916,37.410819687,-122.194425589,
6918,6918,37.4075135645,-122.194698276,
6923,6923,37.4715247974,-122.139322259,
6925,6925,37.4822064153,-122.148123705,
6927,6927,37.4742813038,-122.15912713,
6928,6928,37.4797747917,-122.160999603,
6930,6930,37.4218533916,-122.182768646,
6931,6931,37.4711768995,-122.154808014,
6932,6932,37.4726911598,-122.151036359,
6935,6935,37.4815713859,-122.18328362,
6937,6937,37.4728062612,-122.154518248,
6943,6943,37.4876662148,-122.179631578,
6944,6944,37.4860056043,-122.18062249,
6948,6948,37.246301818,-121.804104054,
6953,6953,37.4552218051,-122.12979693,
6954,6954,37.4628974931,-122.141603525,
6955,6955,37.4727916526,-122.13138009,
6958,6958,37.4750990776,-122.174114257,
6960,6960,37.6820354121,-122.470543775,
6961,6961,37.4671208862,-122.156074968,
6965,6965,37.4580748704,-122.141545587,
6969,6969,37.4546045858,-122.164163978,
6971,6971,37.4602882763,-122.161081697,
6972,6972,37.4614168962,-122.160085348,
6976,6976,37.4536470802,-122.183202956,39
6977,6977,37.4503932115,-122.185816042,
6978,6978,37.4348236412,-122.198531481,
6979,6979,37.4454812893,-122.189814712,
6982,6982,37.4558640116,-122.179244173,
6983,6983,37.4530480262,-122.181298739,39
6984,6984,37.4588347982,-122.185227017,
6989,6989,37.4683750122,-122.191049092,
6990,6990,37.4605597192,-122.175314467,
6991,6991,37.4634232565,-122.181400463,
6992,6992,37.4621173729,-122.199981584,39
6993,6993,37.4666762118,-122.187799338,
