taz,stop_id,dist,elevation_gain,population_density,employment_density,auto_capacity,indirectness
704,30734,0.48,0.0,13.096552217,359.124982642,2351.65931326,1.0535035274
16,22528,0.21,41.58088,33.9683116959,4.38560846332,1535.39651838,1.41659124446
533,25706,0.46,35.947296,36.0892866329,14.6955940412,2220.0,1.2414337795
741,24673,0.26,0.0,1.31984349332,875.454157549,1597.19971821,1.21757856383
777,24504,0.29,0.0,0.0606585700955,604.307582701,1300.0,1.36068560698
376,25343,0.22,0.0,72.5294826515,53.4762339128,1100.0,1.04858398366
764,52709,0.12,0.0,0.203671139344,337.991524681,2550.0,1.23861622915
740,24751,0.57,80.346288,9.11576040513,660.466718632,2370.23809524,1.43714706844
304,24929,0.0,9.233105376,229.255233848,57.6178684841,1950.0,1.03974575417
596,13404,0.35,8.000256,48.5697264596,81.073638988,2436.48648649,1.12282013791
343,25280,0.24,0.0,89.5190311415,30.6174596592,600.0,1.21413207627
97,21961,0.29,148.884384,21.9894104697,3.0046404595,850.0,1.48679483437
352,24701,0.6,0.0,108.817672951,222.579623169,1487.27799803,1.14289851828
896,54018,0.21,0.0,17.5780911321,12.8207977373,700.0,1.0
373,25049,0.42,30.896976,121.331629663,54.5077126138,1125.0,1.35594762897
122,33198,0.27,60.784416,15.7079773061,3.54768178337,2176.78682859,1.27548905984
264,27277,0.21,0.0,50.2075344843,7.76170010945,600.0,1.02431563551
712,16514,0.48,22.614768,164.066445841,53.1190589397,2060.20408163,1.25252625843
640,24563,0.78,35.122032,33.4137504677,159.975039447,3235.76642336,1.37479768916
924,14655,0.13,0.0,80.8367486172,15.7129212251,0.0,1.08408391843
286,52816,0.45,0.0,66.4351026194,85.9394282714,2329.33989105,1.1143002518
160,27935,0.41,12.786048,38.8364353778,4.87510568706,700.0,1.40198659342
78,21870,0.44,100.163712,28.958562128,8.12953801163,2041.02564103,1.17090907509
73,33011,0.44,89.963808,25.6910403323,3.90162623958,1400.0,1.40648920214
2144,9154,0.28,0.0,5.53555776861,1.96504506532,1600.0,1.38404627485
937,24903,0.39,15.268176,12.6277393211,370.764760284,1206.25,1.19838365272
532,27735,1.0,8.829216,35.4252933408,4.38652807489,700.0,1.06812555502
638,13402,0.88,9.233664,30.5161489199,215.387978381,2747.29108428,1.31412430853
957,30739,0.81,15.343152,33.8506736233,485.293521123,2278.65377464,1.11749202487
699,24918,0.59,36.07032,107.511573771,81.7539181791,1878.92595327,1.0
578,13406,0.64,53.938368,54.787544365,62.1175008944,2160.40808319,1.13461292688
589,24314,0.55,9.456422976,23.6298681329,79.0728797891,2341.78325069,1.26502774165
779,24634,0.85,0.0,18.0417007091,237.267494008,3260.0,1.0994433795
805,25048,0.53,130.517904,72.8509814093,744.836090459,930.496054115,1.07460599877
2023,103532,0.67,0.0,19.6730291775,3.55080102858,1900.0,2.03391473134
447,21838,0.61,15.627744,39.3847053191,3.61922565103,666.666666667,1.13033942653
286,24685,0.97,0.0,33.9615472347,359.520545986,2589.07601274,1.13295540568
344,24820,0.86,8.74368,88.1116935335,136.933268,856.564151614,1.21782490325
428,20500,0.3,33.74448,36.7009069847,6.33449492609,2231.81818182,1.12659808674
853,54037,0.41,0.0,12.5627553773,33.150469605,2790.0,1.05003817943
141,21177,0.18,30.36528,70.9323308589,17.6072925973,790.909090909,1.28536605032
814,25049,0.75,86.761166976,87.4602936231,128.262676763,686.764414504,1.0580686092
416,33563,0.5,0.0,15.5452736597,7.06626558386,568.75,1.1384187246
307,27611,0.1,1.59984,41.8730057359,16.9849224709,1633.33333333,1.4076290291
315,27635,0.14,0.0,45.8522382773,5.35220989849,1400.0,1.12489930971
815,26972,0.17,0.0,44.7390615942,42.3323415082,1066.66666667,1.12101417259
639,23897,0.34,0.0,0.797476489457,29.8650681237,4050.0,1.41560954862
354,25262,0.49,142.737614976,127.044754924,56.6435219965,518.83570182,1.09901915313
939,30733,0.08,0.0,9.48746988144,686.188605413,0.0,1.31689506268
832,24881,0.7,0.0,44.9368223051,39.1598081454,3600.0,1.12106937481
711,25262,0.61,294.128208,135.739807338,36.7030350826,1395.19230769,1.05077288539
899,22723,0.47,120.22118592,27.76437861,1.82773223681,2345.67307692,2.00129043431
90,54057,0.76,30.596544,38.6426146354,4.26297160253,2525.67567568,1.32684453665
690,24701,0.62,0.0,15.324778445,697.250142966,2752.43106815,1.13902068323
