taz,lon,lat
165,-122.42329894900,37.75597197800
166,-122.40027797600,37.75593768900
167,-122.44613996000,37.75093459700
168,-122.47800322500,37.75324409700
169,-122.47390072100,37.75428273300
170,-122.41439521300,37.75570380000
171,-122.40991251200,37.75597252500
172,-122.50559925600,37.75576898200
173,-122.42903640200,37.75722780000
174,-122.49892224800,37.75605588400
175,-122.48954075400,37.75647537600
176,-122.41863044800,37.75689969100
177,-122.44521368500,37.75745703700
178,-122.44185137800,37.75562001300
179,-122.43725795900,37.75721638300
180,-122.45022796700,37.75456362900
181,-122.43288611000,37.75807146200
182,-122.50577530700,37.75763178700
183,-122.42353196000,37.75837097600
184,-122.49904737800,37.75792471100
185,-122.41994428500,37.75890614000
186,-122.41021145900,37.75901879300
187,-122.48967231100,37.75833748300
188,-122.41470241300,37.75890182100
189,-122.40590766700,37.75692419500
190,-122.43669419200,37.75944859700
191,-122.41895486700,37.76074015500
192,-122.50597024100,37.75949503300
193,-122.49917744400,37.75979132600
194,-122.49408170900,37.75785943800
195,-122.44891379200,37.76007958800
196,-122.44448218400,37.75966999200
197,-122.39548753000,37.76136285400
198,-122.48980287600,37.76020429700
199,-122.44149067400,37.76068884000
200,-122.47367045200,37.76091746500
201,-122.43280385600,37.76102776600
202,-122.43723244800,37.76157748400
203,-122.46720145800,37.76120118300
204,-122.42384113200,37.76157100400
205,-122.41946729500,37.76263820100
206,-122.50615337800,37.76135564100
207,-122.49930880400,37.76165574800
208,-122.48993260100,37.76206949600
209,-122.40691183600,37.76285438800
210,-122.45048589800,37.76285745200
211,-122.47382444400,37.76277941600
212,-122.42926841800,37.76366289300
213,-122.46733150300,37.76306382300
214,-122.39594946700,37.76385312800
215,-122.46322633300,37.76285858800
216,-122.50633323600,37.76322371600
217,-122.44315388200,37.76299135300
218,-122.49944019500,37.76352729500
219,-122.49465302600,37.76233514800
220,-122.49006248200,37.76394154000
221,-122.42414771200,37.76478984700
222,-122.47396497700,37.76465359900
223,-122.41996524600,37.76452442800
224,-122.46746259600,37.76493847400
225,-122.46264241900,37.76514842200
226,-122.45944363300,37.76463180300
227,-122.45533505500,37.76508864900
228,-122.45004725300,37.76519275800
229,-122.44583230900,37.76590287900
230,-122.41874770700,37.76673308600
231,-122.42764880800,37.76646286700
232,-122.42445080900,37.76778313400
233,-122.45086586900,37.76728564500
234,-122.43730594000,37.76741761900
235,-122.44575952900,37.76831784900
236,-122.42094566300,37.76775984000
237,-122.44688595000,37.76953881400
238,-122.43414914300,37.76991652100
239,-122.43004590300,37.77029154900
240,-122.45206284700,37.76988322800
241,-122.44798463800,37.77083999800
242,-122.42399612200,37.77026762000
243,-122.42694530500,37.77112291500
244,-122.44305388900,37.77146701800
245,-122.43806726300,37.77210137200
246,-122.43384035300,37.77215811800
247,-122.43068178900,37.77237085000
248,-122.42470719800,37.77268670700
249,-122.42787073900,37.77349313600
250,-122.49176734800,37.77316580100
251,-122.48534016800,37.77345914800
252,-122.45273421900,37.77357647900
253,-122.44943842500,37.77398874800
254,-122.44615369800,37.77440978000
255,-122.42773283200,37.77532740300
256,-122.44286494200,37.77482933500
257,-122.49665742200,37.77387867000
258,-122.43946913400,37.77478919600
259,-122.42198362700,37.77606075400
260,-122.48547464700,37.77532532100
261,-122.48059094800,37.77461194800
262,-122.46987433600,37.77463254600
263,-122.46550437900,37.77531186500
264,-122.46231065400,37.77557044500
265,-122.43120097700,37.77585125800
266,-122.45651483100,37.77575958800
267,-122.42808874300,37.77718937800
268,-122.42545668400,37.77657399500
269,-122.50750141900,37.77525442100
270,-122.50375481200,37.77542631800
271,-122.50000515600,37.77559720600
272,-122.43804367600,37.77751892300
273,-122.49485805400,37.77614510600
274,-122.48561012400,37.77719011700
275,-122.44404103300,37.77743626700
276,-122.46883974200,37.77701669200
277,-122.43056975200,37.77850355400
278,-122.43907980300,37.77876087100
279,-122.49625211900,37.77829620900
280,-122.48574480500,37.77908491300
281,-122.42949706600,37.77988328900
282,-122.48086204100,37.77836949500
283,-122.43534752300,37.77961647000
284,-122.47020277600,37.77932608700
285,-122.46576461200,37.77905827700
286,-122.41536405700,37.78006662900
287,-122.46255277500,37.77920407500
288,-122.45727894800,37.77893738100
289,-122.45478501500,37.77968429600
290,-122.43105889800,37.78092743600
291,-122.50747775600,37.77911974600
292,-122.42538722400,37.78040744100
293,-122.50379057900,37.77908543100
294,-122.50028015800,37.77938520900
295,-122.49606354400,37.78054285200
296,-122.41208057900,37.78201597100
297,-122.47539046600,37.78148730700
298,-122.46944995100,37.78175551900
299,-122.41918680000,37.78310479000
300,-122.41662235100,37.78295094200
301,-122.43592275700,37.78247736000
302,-122.41498167700,37.78316152900
303,-122.43260401500,37.78290219600
304,-122.41260880400,37.78393832300
305,-123.00292123100,37.69812806300
306,-122.47552717300,37.78338300400
307,-122.46958952900,37.78365381100
308,-122.41617942300,37.78491646000
309,-122.46202260400,37.78239439900
310,-122.44053032600,37.78418828300
311,-122.44461718200,37.78413664500
312,-122.46070722700,37.78430155400
313,-122.33064704100,37.78336340500
314,-122.48555900300,37.78386489500
315,-122.48088641700,37.78430479700
316,-122.47563629100,37.78524934400
317,-122.45213404100,37.78535787300
318,-122.42304886300,37.78605477100
319,-122.41838934700,37.78750677900
320,-122.43751359300,37.78727437300
321,-122.43368921500,37.78728591000
322,-122.41858674600,37.78844047300
323,-122.45731478600,37.78728146200
324,-122.46357609400,37.78583532900
325,-122.43065984500,37.78801330300
326,-122.42698904800,37.78833697900
327,-122.41875633700,37.78937534800
328,-122.46128719600,37.78746573900
329,-122.44228392400,37.78876660800
330,-122.42370027400,37.78875484300
331,-122.44895475700,37.78884212900
332,-122.41383157700,37.79000146900
333,-122.40972213300,37.79052408000
334,-122.41848387100,37.79068890100
335,-122.44263272700,37.79054946400
336,-122.43233059600,37.79018008200
337,-122.44925496100,37.79058501700
338,-122.43750011800,37.79027481600
339,-122.41983003200,37.79177541500
340,-122.43288096700,37.79185317100
341,-122.41394848500,37.79300525900
342,-122.42443823400,37.79240890900
343,-122.42011406000,37.79326212400
344,-122.41239773700,37.79394822400
345,-122.41925084600,37.79458173600
346,-122.40863503900,37.79375667600
347,-122.43238268100,37.79416693600
348,-122.41367520100,37.79505393900
