route_id,agency
BART PRE-TEST_Balboa Park (SF)                            Downtown Berkeley,BART
BART PRE-TEST_Balboa Park (SF)                            El Cerrito del Norte,BART
BART PRE-TEST_Balboa Park (SF)                            Fremont,BART
BART PRE-TEST_Balboa Park (SF)                            Millbrae,BART
BART PRE-TEST_Balboa Park (SF)                            Pittsburg/Bay Point,BART
BART PRE-TEST_Balboa Park (SF)                            Powell St. (SF),BART
BART PRE-TEST_Balboa Park (SF)                            Richmond,BART
BART PRE-TEST_Balboa Park (SF)                            San Francisco International Airport,BART
BART PRE-TEST_Balboa Park (SF)                            South San Francisco,BART
BART PRE-TEST_Bay Fair (San Leandro)                      19th St. Oakland,BART
BART PRE-TEST_Bay Fair (San Leandro)                      Castro Valley,BART
BART PRE-TEST_Bay Fair (San Leandro)                      Coliseum/Oakland Airport,BART
BART PRE-TEST_Bay Fair (San Leandro)                      Downtown Berkeley,BART
BART PRE-TEST_Bay Fair (San Leandro)                      Dublin/Pleasanton,BART
BART PRE-TEST_Bay Fair (San Leandro)                      Fremont,BART
BART PRE-TEST_Bay Fair (San Leandro)                      MacArthur (Oakland),BART
BART PRE-TEST_Bay Fair (San Leandro)                      Pittsburg/Bay Point,BART
BART PRE-TEST_Bay Fair (San Leandro)                      Powell St. (SF),BART
BART PRE-TEST_Bay Fair (San Leandro)                      West Dublin/Pleasanton,BART
BART PRE-TEST_Castro Valley                               12th St. Oakland City Center,BART
BART PRE-TEST_Castro Valley                               16th St. Mission (SF),BART
BART PRE-TEST_Castro Valley                               Ashby (Berkeley),BART
BART PRE-TEST_Castro Valley                               Balboa Park (SF),BART
BART PRE-TEST_Castro Valley                               Downtown Berkeley,BART
BART PRE-TEST_Castro Valley                               Dublin/Pleasanton,BART
BART PRE-TEST_Castro Valley                               Embarcadero (SF),BART
BART PRE-TEST_Castro Valley                               Fremont,BART
BART PRE-TEST_Castro Valley                               Hayward,BART
BART PRE-TEST_Castro Valley                               Lake Merritt (Oakland),BART
BART PRE-TEST_Castro Valley                               Montgomery St. (SF),BART
BART PRE-TEST_Castro Valley                               North Berkeley,BART
BART PRE-TEST_Castro Valley                               Powell St. (SF),BART
BART PRE-TEST_Civic Center/UN Plaza (SF)                  12th St. Oakland City Center,BART
BART PRE-TEST_Civic Center/UN Plaza (SF)                  19th St. Oakland,BART
BART PRE-TEST_Civic Center/UN Plaza (SF)                  Balboa Park (SF),BART
BART PRE-TEST_Civic Center/UN Plaza (SF)                  Coliseum/Oakland Airport,BART
BART PRE-TEST_Civic Center/UN Plaza (SF)                  Concord,BART
BART PRE-TEST_Civic Center/UN Plaza (SF)                  Daly City,BART
BART PRE-TEST_Civic Center/UN Plaza (SF)                  Downtown Berkeley,BART
BART PRE-TEST_Civic Center/UN Plaza (SF)                  El Cerrito del Norte,BART
BART PRE-TEST_Civic Center/UN Plaza (SF)                  Fruitvale (Oakland),BART
BART PRE-TEST_Civic Center/UN Plaza (SF)                  Lake Merritt (Oakland),BART
BART PRE-TEST_Civic Center/UN Plaza (SF)                  Millbrae,BART
BART PRE-TEST_Civic Center/UN Plaza (SF)                  North Concord/Martinez,BART
BART PRE-TEST_Civic Center/UN Plaza (SF)                  Pittsburg/Bay Point,BART
BART PRE-TEST_Civic Center/UN Plaza (SF)                  Pleasant Hill/Contra Costa Centre,BART
BART PRE-TEST_Civic Center/UN Plaza (SF)                  Richmond,BART
BART PRE-TEST_Civic Center/UN Plaza (SF)                  San Bruno,BART
BART PRE-TEST_Civic Center/UN Plaza (SF)                  San Francisco International Airport,BART
BART PRE-TEST_Civic Center/UN Plaza (SF)                  Union City,BART
BART PRE-TEST_Civic Center/UN Plaza (SF)                  West Oakland,BART
BART PRE-TEST_Coliseum/Oakland Airport                    12th St. Oakland City Center,BART
BART PRE-TEST_Coliseum/Oakland Airport                    19th St. Oakland,BART
BART PRE-TEST_Coliseum/Oakland Airport                    24th St. Mission (SF),BART
BART PRE-TEST_Coliseum/Oakland Airport                    Ashby (Berkeley),BART
BART PRE-TEST_Coliseum/Oakland Airport                    Bay Fair (San Leandro),BART
BART PRE-TEST_Coliseum/Oakland Airport                    Castro Valley,BART
BART PRE-TEST_Coliseum/Oakland Airport                    Downtown Berkeley,BART
BART PRE-TEST_Coliseum/Oakland Airport                    Embarcadero (SF),BART
BART PRE-TEST_Coliseum/Oakland Airport                    Fremont,BART
BART PRE-TEST_Coliseum/Oakland Airport                    Hayward,BART
BART PRE-TEST_Coliseum/Oakland Airport                    MacArthur (Oakland),BART
BART PRE-TEST_Coliseum/Oakland Airport                    Montgomery St. (SF),BART
BART PRE-TEST_Coliseum/Oakland Airport                    North Berkeley,BART
BART PRE-TEST_Coliseum/Oakland Airport                    Pittsburg/Bay Point,BART
BART PRE-TEST_Coliseum/Oakland Airport                    Richmond,BART
BART PRE-TEST_Coliseum/Oakland Airport                    San Francisco International Airport,BART
BART PRE-TEST_Coliseum/Oakland Airport                    South Hayward,BART
BART PRE-TEST_Coliseum/Oakland Airport                    South San Francisco,BART
