OBS_route_id,OBS_agency,GTFS1.8_route_id,GTFS1.8_agency,
BART PRE-TEST_19th St. Oakland                            Civic Center/UN Plaza (SF),BART,,bart,
BART PRE-TEST_19th St. Oakland                            Coliseum/Oakland Airport,BART,,bart,
BART PRE-TEST_19th St. Oakland                            Concord,BART,,bart,
BART PRE-TEST_19th St. Oakland                            Daly City,BART,,bart,
BART PRE-TEST_19th St. Oakland                            Downtown Berkeley,BART,,bart,
BART PRE-TEST_19th St. Oakland                            Dublin/Pleasanton,BART,,bart,
BART PRE-TEST_19th St. Oakland                            El Cerrito Plaza,BART,,bart,
BART PRE-TEST_19th St. Oakland                            El Cerrito del Norte,BART,,bart,
BART PRE-TEST_19th St. Oakland                            Embarcadero (SF),BART,,bart,
BART PRE-TEST_19th St. Oakland                            Fremont,BART,,bart,
BART PRE-TEST_19th St. Oakland                            Fruitvale (Oakland),BART,,bart,
BART PRE-TEST_19th St. Oakland                            Glen Park (SF),BART,,bart,
BART PRE-TEST_19th St. Oakland                            Lafayette,BART,,bart,
BART PRE-TEST_19th St. Oakland                            Lake Merritt (Oakland),BART,,bart,
BART PRE-TEST_19th St. Oakland                            Montgomery St. (SF),BART,,bart,
BART PRE-TEST_19th St. Oakland                            North Berkeley,BART,,bart,
BART PRE-TEST_19th St. Oakland                            Pittsburg/Bay Point,BART,,bart,
BART PRE-TEST_19th St. Oakland                            Pleasant Hill/Contra Costa Centre,BART,,bart,
BART PRE-TEST_19th St. Oakland                            Powell St. (SF),BART,,bart,
BART PRE-TEST_19th St. Oakland                            Richmond,BART,,bart,
BART PRE-TEST_19th St. Oakland                            San Francisco International Airport,BART,,bart,
BART PRE-TEST_19th St. Oakland                            San Leandro,BART,,bart,
BART PRE-TEST_19th St. Oakland                            Union City,BART,,bart,
BART PRE-TEST_24th St. Mission (SF)                       19th St. Oakland,BART,,bart,
BART PRE-TEST_24th St. Mission (SF)                       Ashby (Berkeley),BART,,bart,
BART PRE-TEST_24th St. Mission (SF)                       Balboa Park (SF),BART,,bart,
BART PRE-TEST_24th St. Mission (SF)                       Bay Fair (San Leandro),BART,,bart,
BART PRE-TEST_24th St. Mission (SF)                       Civic Center/UN Plaza (SF),BART,,bart,
BART PRE-TEST_24th St. Mission (SF)                       Colma,BART,,bart,
BART PRE-TEST_24th St. Mission (SF)                       Concord,BART,,bart,
BART PRE-TEST_24th St. Mission (SF)                       Embarcadero (SF),BART,,bart,
BART PRE-TEST_24th St. Mission (SF)                       Fremont,BART,,bart,
BART PRE-TEST_24th St. Mission (SF)                       MacArthur (Oakland),BART,,bart,
BART PRE-TEST_24th St. Mission (SF)                       Millbrae,BART,,bart,
BART PRE-TEST_24th St. Mission (SF)                       North Berkeley,BART,,bart,
BART PRE-TEST_24th St. Mission (SF)                       North Concord/Martinez,BART,,bart,
BART PRE-TEST_Ashby (Berkeley)                            Balboa Park (SF),BART,,bart,
BART PRE-TEST_Ashby (Berkeley)                            Civic Center/UN Plaza (SF),BART,,bart,
BART PRE-TEST_Ashby (Berkeley)                            Downtown Berkeley,BART,,bart,
BART PRE-TEST_Ashby (Berkeley)                            El Cerrito del Norte,BART,,bart,
BART PRE-TEST_Ashby (Berkeley)                            Embarcadero (SF),BART,,bart,
BART PRE-TEST_Ashby (Berkeley)                            Fremont,BART,,bart,
BART PRE-TEST_Ashby (Berkeley)                            Fruitvale (Oakland),BART,,bart,
BART PRE-TEST_Ashby (Berkeley)                            North Berkeley,BART,,bart,
BART PRE-TEST_Ashby (Berkeley)                            Powell St. (SF),BART,,bart,
BART PRE-TEST_Ashby (Berkeley)                            San Francisco International Airport,BART,,bart,
BART PRE-TEST_Ashby (Berkeley)                            San Leandro,BART,,bart,
BART PRE-TEST_Ashby (Berkeley)                            Union City,BART,,bart,
BART PRE-TEST_Ashby (Berkeley)                            Walnut Creek,BART,,bart,
BART PRE-TEST_Balboa Park (SF)                            19th St. Oakland,BART,,bart,
BART PRE-TEST_Balboa Park (SF)                            Ashby (Berkeley),BART,,bart,
BART PRE-TEST_Balboa Park (SF)                            Civic Center/UN Plaza (SF),BART,,bart,
BART PRE-TEST_Balboa Park (SF)                            Coliseum/Oakland Airport,BART,,bart,
BART PRE-TEST_Balboa Park (SF)                            Downtown Berkeley,BART,,bart,
BART PRE-TEST_Balboa Park (SF)                            El Cerrito del Norte,BART,,bart,
BART PRE-TEST_Balboa Park (SF)                            Fremont,BART,,bart,
BART PRE-TEST_Balboa Park (SF)                            Millbrae,BART,,bart,
BART PRE-TEST_Balboa Park (SF)                            Pittsburg/Bay Point,BART,,bart,
BART PRE-TEST_Balboa Park (SF)                            Powell St. (SF),BART,,bart,
BART PRE-TEST_Balboa Park (SF)                            Richmond,BART,,bart,
BART PRE-TEST_Balboa Park (SF)                            San Francisco International Airport,BART,,bart,
BART PRE-TEST_Balboa Park (SF)                            South San Francisco,BART,,bart,
BART PRE-TEST_Bay Fair (San Leandro)                      19th St. Oakland,BART,,bart,
BART PRE-TEST_Bay Fair (San Leandro)                      Castro Valley,BART,,bart,
BART PRE-TEST_Bay Fair (San Leandro)                      Coliseum/Oakland Airport,BART,,bart,
BART PRE-TEST_Bay Fair (San Leandro)                      Downtown Berkeley,BART,,bart,
BART PRE-TEST_Bay Fair (San Leandro)                      Dublin/Pleasanton,BART,,bart,
BART PRE-TEST_Bay Fair (San Leandro)                      Fremont,BART,,bart,
BART PRE-TEST_Bay Fair (San Leandro)                      MacArthur (Oakland),BART,,bart,
BART PRE-TEST_Bay Fair (San Leandro)                      Pittsburg/Bay Point,BART,,bart,
BART PRE-TEST_Bay Fair (San Leandro)                      Powell St. (SF),BART,,bart,
BART PRE-TEST_Bay Fair (San Leandro)                      West Dublin/Pleasanton,BART,,bart,
BART PRE-TEST_Castro Valley                               12th St. Oakland City Center,BART,,bart,
BART PRE-TEST_Castro Valley                               16th St. Mission (SF),BART,,bart,
BART PRE-TEST_Castro Valley                               Ashby (Berkeley),BART,,bart,
BART PRE-TEST_Castro Valley                               Balboa Park (SF),BART,,bart,
BART PRE-TEST_Castro Valley                               Downtown Berkeley,BART,,bart,
BART PRE-TEST_Castro Valley                               Dublin/Pleasanton,BART,,bart,
BART PRE-TEST_Castro Valley                               Embarcadero (SF),BART,,bart,
BART PRE-TEST_Castro Valley                               Fremont,BART,,bart,
BART PRE-TEST_Castro Valley                               Hayward,BART,,bart,
BART PRE-TEST_Castro Valley                               Lake Merritt (Oakland),BART,,bart,
BART PRE-TEST_Castro Valley                               Montgomery St. (SF),BART,,bart,
BART PRE-TEST_Castro Valley                               North Berkeley,BART,,bart,
BART PRE-TEST_Castro Valley                               Powell St. (SF),BART,,bart,
BART PRE-TEST_Civic Center/UN Plaza (SF)                  12th St. Oakland City Center,BART,,bart,
BART PRE-TEST_Civic Center/UN Plaza (SF)                  19th St. Oakland,BART,,bart,
BART PRE-TEST_Civic Center/UN Plaza (SF)                  Balboa Park (SF),BART,,bart,
BART PRE-TEST_Civic Center/UN Plaza (SF)                  Coliseum/Oakland Airport,BART,,bart,
BART PRE-TEST_Civic Center/UN Plaza (SF)                  Concord,BART,,bart,
BART PRE-TEST_Civic Center/UN Plaza (SF)                  Daly City,BART,,bart,
BART PRE-TEST_Civic Center/UN Plaza (SF)                  Downtown Berkeley,BART,,bart,
BART PRE-TEST_Civic Center/UN Plaza (SF)                  El Cerrito del Norte,BART,,bart,
BART PRE-TEST_Civic Center/UN Plaza (SF)                  Fruitvale (Oakland),BART,,bart,
BART PRE-TEST_Civic Center/UN Plaza (SF)                  Lake Merritt (Oakland),BART,,bart,
BART PRE-TEST_Civic Center/UN Plaza (SF)                  Millbrae,BART,,bart,
BART PRE-TEST_Civic Center/UN Plaza (SF)                  North Concord/Martinez,BART,,bart,
BART PRE-TEST_Civic Center/UN Plaza (SF)                  Pittsburg/Bay Point,BART,,bart,
BART PRE-TEST_Civic Center/UN Plaza (SF)                  Pleasant Hill/Contra Costa Centre,BART,,bart,
BART PRE-TEST_Civic Center/UN Plaza (SF)                  Richmond,BART,,bart,
BART PRE-TEST_Civic Center/UN Plaza (SF)                  San Bruno,BART,,bart,
BART PRE-TEST_Civic Center/UN Plaza (SF)                  San Francisco International Airport,BART,,bart,
