trip_list_id_num,person_id,o_taz,d_taz,mode,purpose,departure_time,arrival_time,time_target,vot
10197,46310,1847,745,walk-transit-walk,work,6:54:00,6:54:00,departure,5.11
10198,46316,1968,245,walk-transit-walk,work,6:30:00,6:30:00,departure,30.05
10199,46319,1874,1973,walk-transit-walk,other,,,departure,20.13
10200,46324,1971,2011,walk-transit-walk,work,7:26:00,7:26:00,departure,14.02
10201,46325,684,1968,walk-transit-walk,work,7:38:00,7:38:00,departure,21.03
10202,46335,1870,2002,walk-transit-walk,work,7:29:00,7:29:00,departure,15.02
10203,46337,1874,1969,walk-transit-walk,other,,,departure,20.13
10204,46339,1867,618,walk-transit-walk,other,5:51:00,5:51:00,departure,1
10205,46343,1946,2018,walk-transit-walk,college,10:59:00,10:59:00,departure,2.82
10206,46351,1874,2152,walk-transit-walk,other,,,departure,9.4
10207,46355,1848,1925,walk-transit-walk,work,8:58:00,8:58:00,departure,10.22
10208,46358,1915,939,walk-transit-walk,work,7:46:00,7:46:00,departure,30.05
10209,46360,1927,1971,walk-transit-walk,other,6:58:00,6:58:00,departure,1
10210,46362,1926,1969,walk-transit-walk,other,17:32:00,17:32:00,departure,6.84
10211,46365,1980,2019,walk-transit-walk,college,15:49:00,15:49:00,departure,1
10212,46372,1874,2051,walk-transit-walk,other,15:39:00,15:39:00,departure,1
10213,46379,1874,1994,walk-transit-walk,other,4:52:00,4:52:00,departure,2.28
10214,46380,1874,2152,walk-transit-walk,other,,,departure,24.16
10215,46385,1969,77,walk-transit-walk,work,7:20:00,7:20:00,departure,36.06
10216,46395,1874,1968,walk-transit-walk,other,,,departure,24.16
10217,46397,1968,327,walk-transit-walk,work,5:16:00,5:16:00,departure,30.05
10218,46413,1946,1976,walk-transit-walk,college,13:57:00,13:57:00,departure,1
10219,46420,1981,568,walk-transit-walk,work,7:24:00,7:24:00,departure,36.06
10220,46422,1874,712,walk-transit-walk,other,,,departure,10.07
10221,46423,1946,1925,walk-transit-walk,work,6:21:00,6:21:00,departure,15.02
10222,46440,1874,2008,walk-transit-walk,other,,,departure,1
10223,46442,1946,2001,walk-transit-walk,work,10:24:00,10:24:00,departure,10.02
10224,46443,1968,643,walk-transit-walk,work,15:47:00,15:47:00,departure,50
10225,46452,1874,2019,walk-transit-walk,other,20:25:00,20:25:00,departure,1
10226,46458,1874,1856,walk-transit-walk,other,,,departure,10.07
10227,46461,1969,2136,walk-transit-walk,work,7:15:00,7:15:00,departure,30.05
10228,46467,1874,2136,walk-transit-walk,other,,,departure,13.69
10229,46468,1874,2018,walk-transit-walk,other,,,departure,5.03
10230,46479,1874,939,walk-transit-walk,other,,,departure,20.13
10231,46491,1985,806,walk-transit-walk,work,4:00:00,4:00:00,departure,10.22
10232,46494,146,1239,walk-transit-walk,other,15:32:00,15:32:00,departure,6.84
10233,46496,1967,790,walk-transit-walk,work,4:22:00,4:22:00,departure,50
10234,46497,1965,1890,walk-transit-walk,work,,,departure,1
10235,46503,1945,780,walk-transit-walk,work,4:45:00,4:45:00,departure,10.02
10236,46506,1923,1764,walk-transit-walk,work,4:42:00,4:42:00,departure,15.02
10237,46510,1986,1839,walk-transit-walk,other,4:23:00,4:23:00,departure,1
10238,46514,165,608,walk-transit-walk,work,4:21:00,4:21:00,departure,30.05
10239,46519,170,751,walk-transit-walk,work,4:37:00,4:37:00,departure,5.11
10240,46520,1946,827,walk-transit-walk,work,4:27:00,4:27:00,departure,50
10241,46523,127,1971,walk-transit-walk,work,4:54:00,4:54:00,departure,1
10242,46527,1852,744,walk-transit-walk,work,20:32:00,20:32:00,departure,15.02
10243,46528,1988,1863,walk-transit-walk,work,,,departure,1
10244,46529,1968,948,walk-transit-walk,work,4:23:00,4:23:00,departure,20.43
10245,46532,140,1240,walk-transit-walk,work,4:01:00,4:01:00,departure,15.02
10246,46544,1847,647,walk-transit-walk,work,4:23:00,4:23:00,departure,14.02
10247,46554,139,783,walk-transit-walk,work,5:15:00,5:15:00,departure,1
