route_id,agency_id,route_short_name,route_long_name,route_type
38_40ANBAC,ac_transit,40A,40A_NB,3
38_40ASBAC,ac_transit,40A,40A_SB,3
38_376EastAC,ac_transit,376East,376East,3
38_376WestAC,ac_transit,376West,376West,3
39_55AC,ac_transit,55,55,3
39_77AC,ac_transit,77,77,3
39_84AC,ac_transit,84,84,3
39_85AC,ac_transit,85,85,3
39_93AC,ac_transit,93,93,3
39_94AC,ac_transit,94,94,3
39_95AC,ac_transit,95,95,3
39_80EBAC,ac_transit,80,80_EB,3
39_80WBAC,ac_transit,80,80_WB,3
39_87AC,ac_transit,87,87,3
39_97AC,ac_transit,97,97,3
39_81EBAC,ac_transit,81,81_EB,3
39_81WBAC,ac_transit,81,81_WB,3
39_83AC,ac_transit,83,83,3
39_92AC,ac_transit,92,92,3
39_99AC,ac_transit,99,99,3
39_210,ac_transit,210,210,3
39_91SBAMAC,ac_transit,91SBAM,91SBAM,3
39_91NBAMAC,ac_transit,91NBAM,91NBAM,3
39_91.1MIDAC,ac_transit,91.1MID,91.1MID,3
39_91.2MIDAC,ac_transit,91.2MID,91.2MID,3
39_210A,ac_transit,210A,210A,3
39_210B,ac_transit,210B,210B,3
39_81AWBAC,ac_transit,81A,81A_WB,3
39_85AAC,ac_transit,85A,85A,3
39_85BAC,ac_transit,85B,85B,3
39_86AC,ac_transit,86,86,3
39_86AAC,ac_transit,86A,86A,3
39_99AAC,ac_transit,99A,99A,3
37_BWB,ac_transit,B,B_WB,3
37_BEB,ac_transit,B,B_EB,3
37_CWB,ac_transit,C,C_WB,3
37_CEB,ac_transit,C,C_EB,3
37_CBWB,ac_transit,CB,CB_WB,3
37_CBEB,ac_transit,CB,CB_EB,3
37_EWB,ac_transit,E,E_WB,3
37_EEB,ac_transit,E,E_EB,3
37_EAEB,ac_transit,EA,EA_EB,3
37_FWB,ac_transit,F,F_WB,3
37_FEB,ac_transit,F,F_EB,3
37_FSWB,ac_transit,FS,FS_WB,3
37_FSEB,ac_transit,FS,FS_EB,3
37_GWB,ac_transit,G,G_WB,3
37_GEB,ac_transit,G,G_EB,3
37_HWB,ac_transit,H,H_WB,3
37_HEB,ac_transit,H,H_EB,3
37_JWB,ac_transit,J,J_WB,3
37_JEB,ac_transit,J,J_EB,3
37_LWB,ac_transit,L,L_WB,3
37_LEB,ac_transit,L,L_EB,3
37_LAWB,ac_transit,LA,LA_WB,3
37_LAEB,ac_transit,LA,LA_EB,3
37_MWB,ac_transit,M,M_WB,3
37_M.1EB,ac_transit,M.1,M.1_EB,3
37_M.2EB,ac_transit,M.2,M.2_EB,3
37_MAWB,ac_transit,MA,MA_WB,3
37_MAEB,ac_transit,MA,MA_EB,3
37_MMIDWB,ac_transit,MMID,MMID_WB,3
37_MMIDEB,ac_transit,MMID,MMID_EB,3
37_NLWB,ac_transit,NL,NL_WB,3
37_NLEB,ac_transit,NL,NL_EB,3
37_NX1,ac_transit,NX1,NX1,3
37_NX2,ac_transit,NX2,NX2,3
37_NXWB,ac_transit,NX,NX_WB,3
37_NX3WB,ac_transit,NX3,NX3_WB,3
37_NX3EB,ac_transit,NX3,NX3_EB,3
37_NX4.1WB,ac_transit,NX4.1,NX4.1_WB,3
37_NX4.1EB,ac_transit,NX4.1,NX4.1_EB,3
37_NX4.2WB,ac_transit,NX4.2,NX4.2_WB,3
37_NX4.2EB,ac_transit,NX4.2,NX4.2_EB,3
37_O.1WB,ac_transit,O.1,O.1_WB,3
37_O.2WB,ac_transit,O.2,O.2_WB,3
37_OEB,ac_transit,O,O_EB,3
37_OXWB,ac_transit,OX,OX_WB,3
37_OXEB,ac_transit,OX,OX_EB,3
37_PWB,ac_transit,P,P_WB,3
37_PEB,ac_transit,P,P_EB,3
37_QWB,ac_transit,Q,Q_WB,3
37_SWB,ac_transit,S,S_WB,3
37_SEB,ac_transit,S,S_EB,3
37_SAWB,ac_transit,SA,SA_WB,3
37_SAEB,ac_transit,SA,SA_EB,3
37_SBWB,ac_transit,SB,SB_WB,3
37_SBEB,ac_transit,SB,SB_EB,3
37_UWB,ac_transit,U,U_WB,3
37_UEB,ac_transit,U,U_EB,3
37_VWB,ac_transit,V,V_WB,3
37_VEB,ac_transit,V,V_EB,3
37_WWB,ac_transit,W,W_WB,3
37_WEB,ac_transit,W,W_EB,3
37_ZWB,ac_transit,Z,Z_WB,3
37_ZEB,ac_transit,Z,Z_EB,3
37_800EB,ac_transit,800,800_EB,3
37_800WB,ac_transit,800,800_WB,3
49_AIRBRT,airbart,AIRBRT,AIRBRT,3
14_BARTCP,caltrain_shuttle,BARTCP,BARTCP,3
14_BARTSP_AM,caltrain_shuttle,BARTSP_AM,BARTSP_AM,3
14_BARTSP_PM,caltrain_shuttle,BARTSP_PM,BARTSP_PM,3
68_PHVJ,benicia,PHVJ,PHVJ,3
68_VJPH,benicia,VJPH,VJPH,3
68_VJPH1,benicia,VJPH1,VJPH1,3
68_PHVJ1,benicia,PHVJ1,PHVJ1,3
68_23,benicia,23,23,3
68_15,benicia,15,15,3
68_16A,benicia,16A,16A,3
68_16B,benicia,16B,16B,3
68_17,benicia,17,17,3
68_18A,benicia,18A,18A,3
14_CTCP,caltrain_shuttle,CTCP,CTCP,3
14_CTUG,caltrain_shuttle,CTUG,CTUG,3
14_CTOR,caltrain_shuttle,CTO,CTO_R,3
14_CTMR,caltrain_shuttle,CTM,CTM_R,3
14_CTWR,caltrain_shuttle,CTW,CTW_R,3
14_CTDC,caltrain_shuttle,CTDC,CTDC,3
14_CTNB,caltrain_shuttle,CT,CT_NB,3
14_CTSH,caltrain_shuttle,CTSH,CTSH,3
14_CTVA,caltrain_shuttle,CTVA,CTVA,3
14_CTMC,caltrain_shuttle,CTMC,CTMC,3
14_CTBW,caltrain_shuttle,CTBW,CTBW,3
14_CTLC,caltrain_shuttle,CTLC,CTLC,3
14_CTGW,caltrain_shuttle,CTGW,CTGW,3
14_CTOP,caltrain_shuttle,CTOP,CTOP,3
14_CTSP,caltrain_shuttle,CTSP,CTSP,3
14_CTBB,caltrain_shuttle,CTBB,CTBB,3
14_CTNF,caltrain_shuttle,CTNF,CTNF,3
14_CTEPA,caltrain_shuttle,CTEPA,CTEPA,3
14_CTMM,caltrain_shuttle,CTMM,CTMM,3
14_CTDA,caltrain_shuttle,CTDA,CTDA,3
14_CTNA_EMP,caltrain_shuttle,CTNA_EMP,CTNA_EMP,3
14_CTNA_RES,caltrain_shuttle,CTNA_RES,CTNA_RES,3
14_CTCD_EMP,caltrain_shuttle,CTCD_EMP,CTCD_EMP,3
14_CTCD_RES,caltrain_shuttle,CTCD_RES,CTCD_RES,3
14_CTMI_PCA,caltrain_shuttle,CTMI_PCA,CTMI_PCA,3
